Site_ID,Latitude,Longitude,MAT,MAP,Annual_coverage,Soil_BD,Rs_annual
US-FIFG-600PPM,38.73,-120.8,18.0,1000.0,0.25,1.14,647.0
CA-CAR-CHMB3,49.85,-125.32,8.6,1452.0,1.0,1.35,2200.0
IE-OPR-PASTURE,52.85,-6.9,9.4,824.0,1.0,1.42,1110.0
CN-DHS-BF,23.16,112.51625,21.825,1746.75,1.0,0.85,1047.9125
US-NC-LFREQ,35.78,-75.9,16.9,1270.0,1.0,0.08,1077.0
ES-DDE-TILLGRAZ,39.98333333,-5.133333333,15.3,572.0,0.58,1.03,655.0
CN-JX-LNA,26.744,115.059,17.9,1505.0,1.0,1.54,638.3412
CN-NJB-CK,26.05,119.25,19.6,1344.0,1.0,1.07,1684.0
ES-DDE-GRAZ,39.98333333,-5.133333333,15.3,572.0,0.58,1.05,640.0
US-AAF-NT,43.28,-89.37,7.6,791.0,1.0,1.34,827.5
FI-KAN-AB4,63.9,23.929999999999996,2.4,561.0,1.0,0.3,457.6666666666667
FI-KAN-AB5,63.9,23.929999999999996,2.4,561.0,1.0,0.42,391.3333333333333
US-HET-SPE1116,19.94480556,-155.2622778,16.1,3988.0,1.0,0.2,1860.0
KR-MKU-INF,37.45,127.27,10.8,790.0,1.0,0.81,1110.0
ES-MD-FCFC,40.05,-3.52,14.0,350.0,1.0,1.36,153.625
US-AAF-GRA,43.28,-89.37,7.6,791.0,1.0,1.33,1777.5
CN-HLJ-PM1,47.43,126.62,1.9,556.0,1.0,1.0,421.2
KR-SEF-HIGH,35.46,127.64,12.8,1322.0,1.0,0.85,813.0
ID-KAL-BL4,2.3,114.0,26.3,2235.0,1.0,0.13,972.36
IN-MOH-PINE,33.0,73.0,23.0,1069.0,1.0,1.35,518.5
CN-QSF-FL,31.67,121.5,15.3,1003.7,1.0,1.27,1007.0
CN-SHB-DC,42.5,117.35,-1.4,450.1,1.0,1.06,513.7
US-LEC-PH,32.8,-89.7,17.3,1346.0,1.0,1.37,616.0
JP-SHE-MANU,42.43333333,142.4833333,7.9,1365.0,1.0,0.78,1215.0
BR-MG,-16.5,-56.4,24.9,1596.0,1.0,1.35,1461.5
KR-SEF-LOW,35.45,127.62,12.8,1322.0,1.0,0.8,858.5
KR-EFK,37.78333333,127.8,10.9,1295.0,1.0,1.09,1020.0
BE-LOC-WILLOW,51.1,2.85,9.5,726.0,1.0,1.28,568.9
US-KFF-CLIP,34.98166667,-97.52055556,16.3,895.0,1.0,1.2,1292.0
CN-SHB-DB,42.5,117.35,-1.4,450.1,1.0,0.69,548.9
CN-NFR-BSV,47.43,128.63,1.5,550.0,0.75,1.06,107.4
JP-KEW,34.98,136.0,13.4,1578.0,1.0,0.93,741.6666666666666
CN-BTM-143YR,33.5,112.0,15.1,900.0,1.0,0.57,832.0
US-INY-CRO,42.510000000000005,-76.55,7.7,899.0,1.0,1.2,208.0
CN-ZCE-CK,31.0,110.5,18.0,1164.0,1.0,1.35,185.0
US-WRCCR-40YR,45.82,-121.95,8.7,2500.0,1.0,1.0,883.0
PA-SAP-MON,9.32,-79.63,26.5,1850.0,0.167,9.1,1985.0
BR-IGA-CK,-1.13,-47.79,26.0,2500.0,1.0,1.4,2275.0
US-WRCCR-500YR,45.82,-121.95,8.7,2500.0,1.0,0.86,1194.0
US-BRF-WHEATCT,30.53,-94.43,20.0,978.0,1.0,1.42,695.0
BR-CNF-CLAY,-1.72,-51.46,25.7,2386.0,1.0,1.2,1233.0
CN-HB-CK,37.71,114.81800000000001,8.059999999999999,613.1600000000001,0.7,1.435,1054.8166666666666
US-MIC-PINUS,47.1,-88.87,5.0,860.0,1.0,1.07,725.0
