realization_id,priestley_taylor_alpha-snow,priestley_taylor_alpha-transpiration,snowmelt_rate,snowmelt_degree_diff,perm_s3,perm_s4,perm_g1,perm_g4
1,0.75,0.75,3.4250000000000003,3.0,-11.709965388637482,-11.324221658325914,-12.500312917381596,-13.0
2,0.9749999999999999,0.5249999999999999,2.3975,2.0,-11.209965388637482,-10.824221658325914,-13.000312917381596,-12.5
3,0.5249999999999999,0.9749999999999999,4.452500000000001,4.0,-12.209965388637482,-11.824221658325914,-12.000312917381596,-13.5
4,0.6375,0.6375,3.93875,4.5,-11.959965388637482,-12.074221658325914,-12.750312917381596,-12.25
5,1.0875,1.0875,1.88375,2.5,-10.959965388637482,-11.074221658325914,-11.750312917381596,-13.25
6,0.8625,0.4125,4.9662500000000005,3.5,-11.459965388637482,-10.574221658325914,-13.250312917381596,-13.75
7,0.4125,0.8625,2.9112500000000003,1.5,-12.459965388637482,-11.574221658325914,-12.250312917381596,-12.75
8,0.46875,0.58125,5.2231250000000005,2.75,-11.584965388637482,-11.699221658325914,-12.625312917381596,-12.125
9,0.91875,1.03125,3.1681250000000003,4.75,-12.584965388637482,-10.699221658325914,-11.625312917381596,-13.125
10,1.1437499999999998,0.35624999999999996,4.195625,1.75,-12.084965388637482,-11.199221658325914,-13.125312917381596,-13.625
11,0.6937499999999999,0.8062499999999999,2.140625,3.75,-11.084965388637482,-12.199221658325914,-12.125312917381596,-12.625
12,0.58125,0.46875,2.654375,3.25,-10.834965388637482,-11.449221658325914,-13.375312917381596,-13.875
13,1.03125,0.91875,4.7093750000000005,1.25,-11.834965388637482,-10.449221658325914,-12.375312917381596,-12.875
14,0.8062499999999999,0.6937499999999999,1.626875,4.25,-12.334965388637482,-10.949221658325914,-12.875312917381596,-12.375
15,0.35624999999999996,1.1437499999999998,3.6818750000000002,2.25,-11.334965388637482,-11.949221658325914,-11.875312917381596,-13.375
16,0.38437499999999997,0.7218749999999999,3.2965625000000003,3.625,-12.147465388637482,-10.386721658325914,-12.437812917381596,-12.3125
17,0.8343749999999999,1.171875,5.3515625,1.625,-11.147465388637482,-11.386721658325914,-13.437812917381596,-13.3125
18,1.059375,0.49687499999999996,2.2690625000000004,4.625,-11.647465388637482,-11.886721658325914,-11.937812917381596,-13.8125
19,0.609375,0.9468749999999999,4.3240625,2.625,-12.647465388637482,-10.886721658325914,-12.937812917381596,-12.8125
20,0.7218749999999999,0.38437499999999997,4.8378125,2.125,-12.397465388637482,-10.636721658325914,-11.687812917381596,-13.5625
21,1.171875,0.8343749999999999,2.7828125000000004,4.125,-11.397465388637482,-11.636721658325914,-12.687812917381596,-12.5625
22,0.9468749999999999,0.609375,3.8103125,1.125,-10.897465388637482,-12.136721658325914,-12.187812917381596,-12.0625
23,0.49687499999999996,1.059375,1.7553125,3.125,-11.897465388637482,-11.136721658325914,-13.187812917381596,-13.0625
24,0.440625,0.440625,3.5534375000000002,4.375,-11.022465388637482,-11.011721658325914,-11.562812917381596,-13.6875
25,0.890625,0.890625,1.4984375,2.375,-12.022465388637482,-12.011721658325914,-12.562812917381596,-12.6875
26,1.1156249999999999,0.6656249999999999,4.580937500000001,3.375,-12.522465388637482,-11.511721658325914,-12.062812917381596,-12.1875
27,0.6656249999999999,1.1156249999999999,2.5259375000000004,1.375,-11.522465388637482,-10.511721658325914,-13.062812917381596,-13.1875
28,0.553125,0.553125,2.0121875,1.875,-11.272465388637482,-11.261721658325914,-12.312812917381596,-12.4375
29,1.0031249999999998,1.0031249999999998,4.0671875,3.875,-12.272465388637482,-12.261721658325914,-13.312812917381596,-13.4375
