Bias,Uncertainty,Middle point,SS,Wstd,Wall,T
0.05252393279156305,0.013563343111333202,w/,w/,w/o,both,w/
0.05261580088254093,0.032787325182733924,w/,w/,w/o,both,w/o
0.0530643833596106,0.01067677613448499,w/,w/,w/,both,w/
0.0542257982752743,0.026166223403064327,w/,w/o,w/o,both,w/o
0.054629385530290876,0.026409999723223724,w/,w/,w/,both,w/o
0.0553789038921317,0.02020889907466664,w/,w/o,w/o,both,w/
0.05606410507294845,0.022667350053723768,w/,w/o,w/,both,w/
0.05902254156558632,0.016804312715792077,w/,w/,w/o,warm,w/
0.05975789229398607,0.021446492528733006,w/,w/o,w/,both,w/o
0.059881658331198157,0.025770815444997444,w/,w/,w/,warm,w/
0.061709563329228785,0.03159547533741821,w/,w/,w/o,warm,w/o
0.06291903473950096,0.03373661176889243,w/,w/,w/,warm,w/o
0.06306766124279731,0.020819787140307928,w/,w/o,w/,warm,w/
0.06316587821243345,0.03968768000911342,w/o,w/o,w/,both,w/
0.06325025299272964,0.022025476623322902,w/,w/o,w/o,warm,w/
0.0636864450505653,0.03317369107841214,w/,w/o,w/o,warm,w/o
0.06438272212339387,0.03156913085330757,w/o,w/o,w/o,both,w/
0.06563235717085066,0.024953605875204222,w/,w/o,w/,warm,w/o
0.06567441176180544,0.037220787334918966,w/o,w/,w/o,both,w/
0.06614778137677697,0.047744882616897764,w/o,w/,w/,both,w/
0.06645137027834769,0.030367864137819944,w/o,w/o,w/o,cold,w/
0.06658984539968489,0.029644273793865996,w/,w/,w/,cold,w/
0.06727968903468155,0.026429845764871483,w/o,w/,w/o,cold,w/
0.06743423859494098,0.021422016300552047,w/,w/,w/o,cold,w/
0.06977758305845344,0.014698533032106402,w/,w/o,w/,cold,w/o
0.07003565972074771,0.042527463818452696,w/,w/,w/,cold,w/o
0.07019085311770143,0.015011085016103577,w/o,w/,w/,cold,w/
0.07046642878441423,0.02718359453827131,w/o,w/o,w/,cold,w/
0.07114869884273031,0.010813163102146505,w/,w/o,w/o,cold,w/o
0.07132144381570693,0.05861031895551242,w/o,w/,w/o,both,w/o
0.07170250820674046,0.005913986675481495,w/,w/o,w/o,cold,w/
0.0719229344090874,0.012352683892590744,w/,w/,w/o,cold,w/o
0.0722740385905432,0.001727231345866089,w/,w/o,w/,cold,w/
0.07251453429034237,0.04702698478824707,w/o,w/,w/,both,w/o
0.07405580667165548,0.017556389776237715,w/o,w/o,w/o,warm,w/
0.074512695644845,0.023724709053348583,w/o,w/o,w/,warm,w/
0.0800069176311842,0.0334674112197054,w/o,w/,w/o,cold,w/o
0.08038794330179375,0.039139980477855066,w/o,w/,w/,warm,w/o
0.08066228106805527,0.04530268565248979,w/o,w/,w/o,warm,w/o
0.08081974854346391,0.025347102444729316,w/o,w/,w/,cold,w/o
0.08112686069633616,0.027768004441813727,w/o,w/,w/,warm,w/
0.08141194295638945,0.030840310451232856,w/o,w/,w/o,warm,w/
0.08267845963761492,0.038362137034470827,w/o,w/o,w/,both,w/o
0.0851872284269369,0.04323420731365364,w/o,w/o,w/,warm,w/o
0.08550431856923335,0.04447511664894651,w/o,w/o,w/o,both,w/o
0.08709521335428276,0.05169234629757465,w/o,w/o,w/o,warm,w/o
0.1264365356818723,0.02070340549448681,w/o,w/o,w/,cold,w/o
0.13036515002518337,0.03130435167538157,w/o,w/o,w/o,cold,w/o
