Bias,Uncertainty,Middle point,SS,Wstd,Wall,T
0.0091279450371152,0.013334656674609998,w/,w/o,w/,cold,w/
0.009351307762993711,0.015261233107732836,w/,w/o,w/,both,w/
0.009998439758542992,0.015578149768234795,w/,w/o,w/o,both,w/
0.010363455219874317,0.012103401075536637,w/,w/o,w/o,cold,w/
0.01048329771889582,0.01138437116208816,w/o,w/o,w/,cold,w/
0.010572906509278321,0.015510685908015215,w/o,w/o,w/,both,w/
0.010795147449251209,0.013713798882687684,w/,w/,w/o,cold,w/
0.01079754105068389,0.012995412520496647,w/,w/,w/,cold,w/
0.01088263194523161,0.017882821109034743,w/o,w/o,w/o,both,w/
0.011006470309363477,0.010438850710047324,w/o,w/o,w/o,cold,w/
0.011144332280234693,0.017372059128792416,w/o,w/,w/,both,w/
0.011162724843100902,0.016774997395864383,w/o,w/,w/o,both,w/
0.011387014775049128,0.016971342307934515,w/,w/,w/,both,w/
0.011634386713542642,0.011282099851427049,w/o,w/,w/o,cold,w/
0.012005843404739626,0.013675752819189178,w/,w/o,w/o,warm,w/
0.012024818715595064,0.013714839831591798,w/o,w/,w/o,warm,w/
0.012132883185432075,0.013604099887218741,w/o,w/o,w/,warm,w/
0.012222672651684485,0.012007150493616456,w/o,w/,w/,cold,w/
0.01222427234195528,0.013528545597195855,w/o,w/,w/,warm,w/
0.01254992204999167,0.01201082556696991,w/o,w/o,w/o,warm,w/
0.012803794838133315,0.013315003604008198,w/,w/o,w/,warm,w/
0.012847392059507821,0.015655175494355432,w/,w/,w/,warm,w/
0.012884633586520252,0.019427982942498322,w/,w/,w/o,both,w/
0.013678570240262955,0.014227621003602815,w/,w/,w/o,warm,w/
0.018072085827115985,0.015073721461343134,w/,w/o,w/o,warm,w/o
0.018762418413919107,0.01833587459734968,w/,w/o,w/o,both,w/o
0.019976660387856622,0.015844184077135063,w/,w/,w/o,warm,w/o
0.020396876531933977,0.01766606973414627,w/o,w/o,w/o,both,w/o
0.020472075598580497,0.018300085475743206,w/,w/,w/o,both,w/o
0.021484173706599646,0.01587497367373302,w/,w/,w/,warm,w/o
0.02169381988616217,0.018549259447830622,w/,w/,w/,cold,w/o
0.021704938396574957,0.017798544374355157,w/o,w/o,w/o,warm,w/o
0.021951122541276236,0.01860938705391501,w/o,w/,w/o,both,w/o
0.022001004786718445,0.020395963957325052,w/o,w/,w/,cold,w/o
0.022416744724152584,0.01845681296952835,w/,w/o,w/,warm,w/o
0.022450641268775565,0.018850526560585692,w/,w/,w/o,cold,w/o
0.022882561524709064,0.018298937349221132,w/,w/,w/,both,w/o
0.023015321209317163,0.015826662824592518,w/o,w/,w/o,warm,w/o
0.02304754646997602,0.01965409319661984,w/o,w/,w/o,cold,w/o
0.02403526563493032,0.017167470830142896,w/o,w/,w/,warm,w/o
0.025147275023990202,0.019127741071801874,w/,w/o,w/,both,w/o
0.026211781191447424,0.021646171681550756,w/o,w/,w/,both,w/o
0.026694666393219473,0.02078256317452623,w/o,w/o,w/,both,w/o
0.026933582131824795,0.019064541696292035,w/o,w/o,w/,warm,w/o
0.02701518762679326,0.019237611435811968,w/o,w/o,w/,cold,w/o
0.02799595552777486,0.01970406594587216,w/,w/o,w/,cold,w/o
0.02947049215104845,0.021502342288118325,w/,w/o,w/o,cold,w/o
0.02967653368389794,0.023107649339501005,w/o,w/o,w/o,cold,w/o
